work_id,type,title,artist,release_date
olivia_vampire,single,vampire,Olivia Rodrigo,2023-06-30
olivia_good4u,single,good 4 u,Olivia Rodrigo,2021-05-14
sabrina_espresso,single,Espresso,Sabrina Carpenter,2024-04-11
sabrina_ppp,single,Please Please Please,Sabrina Carpenter,2024-06-06
taylor_fortnight,single,Fortnight,Taylor Swift,2024-04-19
taylor_antihero,single,Anti-Hero,Taylor Swift,2022-10-21
miley_flowers,single,Flowers,Miley Cyrus,2023-01-12
billie_wwimf,single,What Was I Made For?,Billie Eilish,2023-07-13
